,Content ID,Reaction Type,Datetime,Content Type,Category,Sentiment,Score,,,Unique Category,Total Score,Reaction Type,Total Reactions,,Sentiment,Total Sentiment,,Datetime,
0,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,7/11/2020 9:43,photo,studying,negative,0,,,animals,74965,heart,1622,,negative,7695,,7-Jan-20,2020-01
1,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,17/6/21 12:22,photo,studying,negative,10,,,science,71168,scared,1572,,positive,13807,,7-Jan-20,2020-01
2,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,18/4/21 5:13,photo,studying,negative,15,,,healthy eating,69339,peeking,1559,,neutral,3071,,7-Jan-20,2020-01
3,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,6/1/2021 19:13,photo,studying,negative,0,,,technology,68738,hate,1552,,,,,7-Jan-20,2020-01
4,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,23/8/20 12:25,photo,studying,positive,30,,,food,66676,interested,1549,,,,,7-Jan-20,2020-01
5,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,7/12/2020 6:27,photo,studying,neutral,35,,,culture,66579,dislike,1548,,,,,7-Jan-20,2020-01
6,97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,11/4/2021 17:35,photo,studying,positive,70,,,travel,64880,adore,1548,,,,,7-Jan-20,2020-01
7,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,27/1/21 8:32,photo,studying,negative,5,,,cooking,64756,want,1539,,,,,7-Jan-20,2020-01
8,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,1/4/2021 22:54,photo,studying,neutral,35,,,soccer,57783,love,1534,,,,,7-Jan-20,2020-01
9,97522e57-d9ab-4bd6-97bf-c24d952602d2,love,4/8/2020 5:05,photo,studying,positive,65,,,education,57436,disgust,1526,,,,,7-Jan-20,2020-01
10,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,7/11/2020 8:36,photo,studying,neutral,20,,,fitness,55323,like,1520,,,,,7-Jan-20,2020-01
11,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,2/11/2020 6:28,photo,studying,negative,15,,,studying,54269,super love,1519,,,,,7-Jan-20,2020-01
12,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,1/11/2020 1:16,photo,studying,positive,30,,,dogs,52511,indifferent,1512,,,,,7-Jan-20,2020-01
13,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,7/10/2020 18:39,photo,studying,negative,5,,,tennis,50339,cherish,1501,,,,,7-Jan-20,2020-01
14,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,3/9/2020 18:51,photo,studying,negative,15,,,veganism,49619,worried,1497,,,,,7-Jan-20,2020-01
15,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,24/2/21 5:09,photo,studying,positive,75,,,public speaking,49264,intrigued,1475,,,,,7-Jan-20,2020-01
16,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,23/9/20 6:24,photo,studying,neutral,35,,,,,,,,,,,7-Jan-20,2020-01
17,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,24/2/21 11:37,photo,studying,neutral,20,,,,,,,,,,,7-Jan-20,2020-01
